timestamp,message,logStreamName
1636337956868,"2021-11-08 02:19:11,791 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46776 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636337961873,"2021-11-08 02:19:16,787 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46776 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636337966878,"2021-11-08 02:19:21,787 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46776 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636337971882,"2021-11-08 02:19:26,787 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46776 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636337976886,"2021-11-08 02:19:31,787 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46776 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636337981891,"2021-11-08 02:19:36,787 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46776 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636337986896,"2021-11-08 02:19:41,787 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46776 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636337991900,"2021-11-08 02:19:46,789 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46776 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636337996905,"2021-11-08 02:19:51,787 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46776 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636338001909,"2021-11-08 02:19:56,787 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46776 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:01,790 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46776 ""GET /ping HTTP/1.1"" 200 1",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:06,112 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle - Invoking custom service failed.",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:06,113 [INFO ] W-9000-model com.amazonaws.ml.mms.wlm.WorkerThread - Backend response time: 4",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:06,113 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle - Traceback (most recent call last):",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:06,113 [INFO ] W-9000-model ACCESS_LOG - /169.254.178.2:46776 ""POST /invocations HTTP/1.1"" 503 4",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:06,113 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""/opt/conda/lib/python3.6/site-packages/mms/service.py"", line 108, in predict",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:06,113 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     ret = self._entry_point(input_batch, self.context)",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:06,113 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""/opt/conda/lib/python3.6/site-packages/sagemaker_inference/default_handler_service.py"", line 31, in handle",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:06,114 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     return self._service.transform(data, context)",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:06,114 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""/opt/conda/lib/python3.6/site-packages/sagemaker_inference/transformer.py"", line 55, in transform",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:06,114 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     self.validate_and_initialize()",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:06,114 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""/opt/conda/lib/python3.6/site-packages/sagemaker_inference/transformer.py"", line 92, in validate_and_initialize",AllTraffic/i-05b4c405ca1171650
1636338006163,"2021-11-08 02:20:06,114 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     self._validate_user_module_and_set_functions()",AllTraffic/i-05b4c405ca1171650
